Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
13485,"1,014",,,,,,150.89,"4,802.76",245,319,286,364,177,627,388,300,199,"$286,126.00 ",,,,,,,,,,,,
Monroe County,"748,777","5,366",3.58,3.58,1,210,15.9,86.32,336316,413630,492243,489754,184148,254234,78292,54300,64666,"($7,984,201,878.00)",2277,,,182391.734,,,527,,,2277,182391.734,527
14420,"20,955",124,2.96,2.96,,4,247.01,"1,997.57",16699,8176,6589,7496,6125,10629,5611,2883,2221,"$380,517.00 ",,,,,,,,,,,,
14428,"7,814",40,2.56,2.56,,1,20.86,749.04,3455,2955,4802,6279,4267,4200,996,1221,1170,"$436,846.00 ",,,,,,,,,,,,
14445,"8,006",68,4.25,4.25,,4,"1,374.72","7,766.30",5197,5329,7807,5615,1303,2263,722,379,293,"$344,023.00 ",,,,,,,,,,,,
14450,"41,298",562,6.8,6.8,,6,125.04,997.92,20811,18709,21873,30423,14849,19758,5329,2482,2630,"$541,488.00 ",,,,,,,,,,,,
14464,"7,614",18,1.18,1.18,,,20.09,639.61,1902,2408,2222,2054,1970,5516,3911,3424,1125,"$414,308.00 ",,,,,,,,,,,,
14467,"10,413",70,3.36,3.36,,3,732.07,"5,025.74",4396,8654,6495,7262,2854,3228,721,366,574,"$487,149.00 ",,,,,,,,,,,,
14468,"18,320",80,2.18,2.18,,,8.35,265.83,6389,4600,8001,12765,6586,12736,6918,3369,2727,"$463,767.00 ",,,,,,,,,,,,
14472,"8,297",156,9.4,9.4,,,18.44,586.96,3189,1651,3258,5455,3669,6035,1939,855,945,"$607,582.00 ",,,,,,,,,,,,
14506,"1,468",12,4.09,4.09,,,104.22,"3,317.44",341,541,616,776,711,810,440,376,69,"$750,873.00 ",,,,,,,,,,,,
14511,601,4,3.33,3.33,,,254.58,"8,103.16",216,91,118,202,127,335,122,104,75,"$323,347.00 ",,,,,,,,,,,,
14514,"6,812",30,2.2,2.2,,,22.46,714.91,2741,2981,3693,4744,1762,2685,923,597,276,"$439,839.00 ",,,,,,,,,,,,
14526,"20,662",170,4.11,4.11,,1,21.92,514.62,7582,9640,12412,19520,6492,6168,1944,846,940,"$549,315.00 ",,,,,,,,,,,,
14534,"31,596",656,10.38,10.38,,4,376.88,"2,045.58",13484,16531,20680,25033,8521,9436,2351,1217,2110,"$744,629.00 ",,,,,,,,,,,,
14543,"3,285",34,5.18,5.18,,,46.58,"1,482.50",1315,1851,1631,2528,1430,1633,675,347,348,"$585,666.00 ",,,,,,,,,,,,
14546,"4,529",40,4.42,4.42,,,33.78,"1,075.29",1958,2085,2556,4371,1944,2709,819,350,342,"$415,370.00 ",,,,,,,,,,,,
14559,"18,687",122,3.26,3.26,,1,75.67,918.18,6444,8161,13087,15877,5832,8871,2425,785,1102,"$507,655.00 ",,,,,,,,,,,,
14580,"51,917",416,4.01,4.01,,5,142.28,918.06,24150,24291,26086,36694,19598,23966,6584,3857,3502,"$499,073.00 ",,,,,,,,,,,,
14586,"11,691",86,3.68,3.68,,,13.09,416.56,5714,7111,6585,7219,4547,5663,1141,678,533,"$516,297.00 ",,,,,,,,,,,,
14602,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14603,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14604,"1,932",16,4.14,4.14,,14,"2,869.05","23,798.14",806,831,765,819,31,299,103,91,220,"$95,928.00 ",839,,,54280.009,,,134,,,839,54280.009,134
14605,"13,106",16,0.61,0.61,,2,106.13,"1,291.32",4607,4276,5310,4133,1161,2624,597,1114,1417,"$132,556.00 ",,,,,,,,,,,,
14606,"27,890",96,1.72,1.72,,4,333.09,"2,077.55",11646,18653,21501,16706,4373,5073,1937,1622,2832,"$271,785.00 ",,,,,,,,,,,,
14607,"16,818",134,3.98,3.98,,14,702.46,"3,821.32",13347,15722,21155,12266,2950,4051,1521,1427,2420,"$282,060.00 ",,,,,,,,,,,,
14608,"12,340",22,0.89,0.89,,,12.4,394.65,4032,5347,6801,4145,1176,2747,546,635,1788,"$145,775.00 ",,,,,,,,,,,,
14609,"42,860",152,1.77,1.77,,1,216.75,"1,351.91",16325,25132,33984,26492,8294,11627,2650,1990,5264,"$290,491.00 ",,,,,,,,,,,,
14610,"14,031",224,7.98,7.98,,1,662.11,"4,129.64",7919,12092,14762,8161,898,2252,668,1088,732,"$412,061.00 ",,,,,,,,,,,,
14611,"17,169",30,0.87,0.87,,11,672.37,"3,693.63",5041,8022,9238,6001,1916,3591,1011,1122,1329,"$174,119.00 ",,,,,,,,,,,,
14612,"34,118",226,3.31,3.31,,5,272.29,"1,698.31",9885,14645,26159,31967,12858,18195,5566,2123,1857,"$421,277.00 ",,,,,,,,,,,,
14613,"13,380",28,1.05,1.05,,4,694.32,"4,330.57",3357,6963,6391,6674,1356,3597,737,1123,2720,"$206,114.00 ",,,,,,,,,,,,
14614,"1,218",10,4.11,4.11,,8,"9,491.79","52,170.77",40,0,47,38,0,0,0,0,0,"($3,333,329,424.00)",,,,,,,,,,,,
